Nazwa;kcal;Bialko;Tluszcz;Tluszcze nasycone;Tluszcze nienasycone mono;Tluszcze nienasycone bi;Weglowodany;Cukry;Blonnik;Komentarz
Ryz brazowy;341;7.5;2;0.5;;;75;0.9;;
Makaron pelnoziarnisty;176;7.9;1.6;;;;30;1.6;4.9;
Jablko;52;;;;;;14;10;2.4;
Banan;88;1;;;;;23;12;2.6;
Serek wiejski;;;;;;;;;;
Jogurt;;;;;;;;;;
Maka 2000;330;5.2;1.6;;;;67;2.5;13;
Kukurydza;;;;;;;;;;
Groszek;;;;;;;;;;
Czerwona fasola;95;6.4;;;;;14;0.8;;
Olej rzepakowy;;;;;;;;;;
Olej lniany;;;;;;;;;;
Brokul;33;2.8;;;;;7;1.7;2.6;
Marchew;41;1;;;;;10;5;3;
Ziemniak;76;2;;;;;17;1;2.2;
Platki owsiane;363;13;5.7;1.2;;;60;1.8;10;
WPC 80;415;79;7;4;;;9;3;;
